"PLOT";"total";"PROPFOR";"PROPNATFOR";"SHA500";"region"
195;0;"0.306289067483097";"0.542274052478134";"1.172379904";"Banks"
223;0;"0.954423933800127";"0";"0.209489806";"Plain"
224;0;"0.910816664543254";"0";"0.300644277";"Plain"
226;0;"0.503948038716251";"0";"0.693116006";"Plain"
227;0;"0.887460216422661";"0";"0.364902644";"Plain"
228;0;"0.280840229153406";"0.388485947416138";"1.228594474";"Plain"
229;0;"1";"0";"0";"Plain"
231;0;"0.897021384928717";"0";"0.331578798";"Plain"
233;0;"0.328409525022284";"0";"0.762706348";"Plain"
235;0;"0.272808132147395";"1";"1.038815645";"Banks"
236;0;"0.158371618172537";"1";"1.028669245";"Banks"
237;0;"0.410510281797411";"1";"1.048736928";"Banks"
241;0;"0.00611464968152866";"1";"0.489483599";"Banks"
250;0;"0.359617834394904";"0.0226709174636911";"1.058969422";"Banks"
251;1;"0.197957881301851";"0.908446163765313";"1.343957207";"Banks"
254;0;"0.0330441439142638";"1";"1.080019272";"Banks"
255;0;"0.0353001146935134";"0.0036101083032491";"1.181538468";"Banks"
256;0;"0.350508905852417";"0.043557168784029";"1.399576577";"Banks"
257;2;"0.453194462085609";"0.0787556053811659";"1.174313886";"Banks"
259;0;"0.458121181262729";"0.231731036399";"1.190895537";"Banks"
262;0;"0.111422030017807";"0.930365296803653";"1.317161241";"Banks"
263;0;"0.437515907355561";"0.33391506689936";"1.354224701";"Banks"
265;0;"0.321847881572231";"0.657811260904044";"1.254613165";"Banks"
266;0;"0.377664974619289";"0.30241935483871";"1.179378768";"Banks"
267;1;"0.162823289591031";"0.985915492957746";"1.321156903";"Banks"
268;0;"0.182049974502805";"1";"0.943080382";"Banks"
269;0;"0.305721931948515";"1";"0.898471063";"Banks"
270;0;"0.402212614445575";"1";"1.317661788";"Banks"
271;0;"0.246912008149752";"1";"0.895083666";"Banks"
280;0;"1";"0";"0";"Plain"
282;0;"0.702826585179526";"0";"0.612202863";"Plain"
283;0;"1";"0";"0";"Plain"
284;0;"1";"0";"0";"Plain"
285;0;"1";"0";"0";"Plain"
286;0;"0.571373997198523";"0";"1.073226274";"Plain"
287;0;"0.524707080998472";"0";"1.105115406";"Plain"
289;0;"0.660743749206752";"0";"0.64054092";"Banks"
290;0;"0.434007891052565";"0";"0.725421787";"Banks"
293;0;"0.959092646871416";"0";"0.170817122";"Banks"
294;0;"0.835689721054643";"0";"0.533838015";"Banks"
295;0;"0.998981281039093";"0";"0.008036368";"Banks"
296;0;"0.753543608734517";"0";"0.5584085";"Banks"
298;0;"0.948234094096647";"0";"0.20368238";"Banks"
299;0;"0.223478592300851";"0";"0.872283864";"Banks"
301;0;"0.962797808638043";"0.723038242688898";"0.727057588";"Foot_hills"
308;0;"0.51368555060471";"0.898884758364312";"0.861018187";"Banks"
309;0;"0.343562969565771";"0.163454410674574";"1.004104269";"Banks"
310;0;"0.0598478008512834";"0.224137931034483";"0.403311012";"Banks"
312;0;"0.49560677448109";"0.834275436793422";"1.078942392";"Banks"
317;0;"0.282276546982429";"0.824988723500226";"1.294942184";"Banks"
318;0;"0.190118013227856";"0.263983628922237";"0.779484211";"Banks"
321;0;"0.822420382165605";"0";"0.519500371";"Plain"
322;0;"0.45955929180996";"0";"0.916000163";"Plain"
323;0;"0.822720326031584";"0.0303405572755418";"0.68937676";"Foot_hills"
325;0;"0.636606801681315";"0.040016006402561";"0.762292335";"Foot_hills"
327;0;"0.769769514835095";"0.162282878411911";"0.916131137";"Foot_hills"
329;0;"0.356897210546427";"0.47180585296217";"0.898426634";"Foot_hills"
