point;espece;total
001C_2;tourterelle des bois;0
001D_1;tourterelle des bois;0
001D_2;tourterelle des bois;0
016A_1;tourterelle des bois;0
016A_2;tourterelle des bois;0
016B_1;tourterelle des bois;0
016B_2;tourterelle des bois;0
016C_1;tourterelle des bois;0
016C_2;tourterelle des bois;0
016D_1;tourterelle des bois;0
016D_2;tourterelle des bois;0
025A_1;tourterelle des bois;0
025B_1;tourterelle des bois;0
025C_1;tourterelle des bois;0
025D_1;tourterelle des bois;0
030A_1;tourterelle des bois;0
030B_1;tourterelle des bois;0
030C_1;tourterelle des bois;0
030D_1;tourterelle des bois;0
053A_1;tourterelle des bois;0
053B_1;tourterelle des bois;0
053C_1;tourterelle des bois;0
053D_1;tourterelle des bois;0
058A_1;tourterelle des bois;0
058A_2;tourterelle des bois;0
058B_1;tourterelle des bois;0
058B_2;tourterelle des bois;0
058C_1;tourterelle des bois;0
058C_2;tourterelle des bois;0
058D_1;tourterelle des bois;0
058D_2;tourterelle des bois;0
063A_1;tourterelle des bois;0
063B_1;tourterelle des bois;0
063C_1;tourterelle des bois;0
063D_1;tourterelle des bois;0
143A_1;tourterelle des bois;0
143A_2;tourterelle des bois;0
143B_1;tourterelle des bois;0
143B_2;tourterelle des bois;0
143C_1;tourterelle des bois;0
143C_2;tourterelle des bois;0
143D_1;tourterelle des bois;0
143D_2;tourterelle des bois;0
166A_1;tourterelle des bois;0
166A_2;tourterelle des bois;0
166B_1;tourterelle des bois;0
166B_2;tourterelle des bois;0
166C_1;tourterelle des bois;0
166C_2;tourterelle des bois;0
166D_1;tourterelle des bois;0
166D_2;tourterelle des bois;0
168A_1;tourterelle des bois;0
168A_2;tourterelle des bois;0
168B_1;tourterelle des bois;0
168B_2;tourterelle des bois;0
168C_1;tourterelle des bois;0
168C_2;tourterelle des bois;0
168D_1;tourterelle des bois;0
168D_2;tourterelle des bois;0
182A_1;tourterelle des bois;0
182B_1;tourterelle des bois;0
182C_1;tourterelle des bois;0
182D_1;tourterelle des bois;0
199A_1;tourterelle des bois;0
199A_2;tourterelle des bois;0
199B_1;tourterelle des bois;0
199B_2;tourterelle des bois;0
199C_1;tourterelle des bois;0
199C_2;tourterelle des bois;1
199D_1;tourterelle des bois;0
199D_2;tourterelle des bois;0
213A_1;tourterelle des bois;1
213B_1;tourterelle des bois;1
213C_1;tourterelle des bois;0
213D_1;tourterelle des bois;1
242A_1;tourterelle des bois;0
242B_1;tourterelle des bois;0
242C_1;tourterelle des bois;0
242D_1;tourterelle des bois;0
260A_1;tourterelle des bois;0
260B_1;tourterelle des bois;0
260C_1;tourterelle des bois;0
260D_1;tourterelle des bois;0
271A_1;tourterelle des bois;0
271A_2;tourterelle des bois;0
271B_1;tourterelle des bois;0
271B_2;tourterelle des bois;0
271C_1;tourterelle des bois;0
271C_2;tourterelle des bois;0
271D_1;tourterelle des bois;0
271D_2;tourterelle des bois;0
354A_1;tourterelle des bois;0
354A_2;tourterelle des bois;2
354B_1;tourterelle des bois;1
354B_2;tourterelle des bois;0
354C_1;tourterelle des bois;0
354C_2;tourterelle des bois;0
354D_1;tourterelle des bois;0
354D_2;tourterelle des bois;0
385A_1;tourterelle des bois;0
385A_2;tourterelle des bois;2
385B_1;tourterelle des bois;0
385B_2;tourterelle des bois;1
385C_1;tourterelle des bois;0
385C_2;tourterelle des bois;1
385D_1;tourterelle des bois;0
385D_2;tourterelle des bois;1
434A_1;tourterelle des bois;0
434A_2;tourterelle des bois;0
434B_1;tourterelle des bois;1
434B_2;tourterelle des bois;0
434C_1;tourterelle des bois;0
434C_2;tourterelle des bois;1
434D_1;tourterelle des bois;1
434D_2;tourterelle des bois;1
443A_1;tourterelle des bois;0
443A_2;tourterelle des bois;0
443B_1;tourterelle des bois;0
443B_2;tourterelle des bois;0
443C_1;tourterelle des bois;0
443C_2;tourterelle des bois;0
443D_1;tourterelle des bois;0
443D_2;tourterelle des bois;0
452A_1;tourterelle des bois;0
452B_1;tourterelle des bois;0
452C_1;tourterelle des bois;0
452D_1;tourterelle des bois;0
490A_1;tourterelle des bois;0
490A_2;tourterelle des bois;0
490B_1;tourterelle des bois;0
490B_2;tourterelle des bois;0
490C_1;tourterelle des bois;0
490C_2;tourterelle des bois;0
490D_1;tourterelle des bois;0
490D_2;tourterelle des bois;0
506A_1;tourterelle des bois;0
506B_1;tourterelle des bois;0
506C_1;tourterelle des bois;0
506D_1;tourterelle des bois;0
524A_1;tourterelle des bois;0
