"";"ID";"individu";"espece";"T5_inf70";"T10_inf70";"T15_inf70";"T5_sup70";"T10_sup70";"T15_sup70";"tot_inf70";"tot_sup70";"TOT";"transit";"chanteur";"observateur"
"3668";"791D_1";33;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"mony"
"3670";"001A_2";2;"corneille noire";0;0;0;2;0;4;0;4;4;"non";"oui";"corbeau"
"3704";"001B_2";8;"corneille noire";0;0;0;0;1;1;0;1;1;"non";"oui";"corbeau"
"3716";"001B_2";20;"corneille noire";0;1;3;0;0;0;3;0;3;"non";"oui";"corbeau"
"3724";"001B_2";28;"corneille noire";1;1;0;0;0;0;1;0;1;"non";"oui";"corbeau"
"3725";"001C_2";1;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"oui";"corbeau"
"3732";"001C_2";8;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"oui";"corbeau"
"3756";"490B_2";NA;"corneille noire";0;0;0;0;0;1;0;1;1;"oui";"non";"barnagaud"
"3758";"490B_2";NA;"corneille noire";0;0;0;0;1;0;0;1;1;"oui";"non";"barnagaud"
"3759";"490B_2";NA;"corneille noire";0;0;0;0;1;0;0;1;1;"oui";"non";"barnagaud"
"3761";"490B_2";NA;"corneille noire";0;0;0;1;1;1;0;1;1;"non";"non";"barnagaud"
"3763";"490B_2";NA;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"barnagaud"
"3771";"490B_2";NA;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"barnagaud"
"3783";"490B_2";NA;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"barnagaud"
"3823";"490C_2";NA;"corneille noire";0;0;0;0;1;0;0;1;1;"oui";"non";"barnagaud"
"3826";"490C_2";NA;"corneille noire";0;0;0;1;0;0;0;1;1;"oui";"non";"barnagaud"
"3830";"490C_2";NA;"corneille noire";0;0;0;0;1;1;0;1;1;"non";"non";"barnagaud"
"3838";"490C_2";NA;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"barnagaud"
"3844";"490C_2";NA;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"barnagaud"
"3845";"490C_2";NA;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"barnagaud"
"3863";"490D_2";NA;"corneille noire";0;0;0;0;2;0;0;2;2;"non";"non";"barnagaud"
"3865";"490D_2";NA;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"barnagaud"
"3875";"490D_2";NA;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"barnagaud"
"3880";"490D_2";NA;"corneille noire";0;0;0;1;0;1;0;1;1;"non";"non";"barnagaud"
"3883";"490D_2";NA;"corneille noire";0;0;0;0;0;3;0;3;3;"non";"non";"barnagaud"
"3886";"490D_2";NA;"corneille noire";0;0;0;3;0;0;0;3;3;"non";"non";"barnagaud"
"3899";"385C_2";NA;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"barnagaud"
"3905";"385C_2";NA;"corneille noire";0;0;0;0;2;0;0;2;2;"non";"non";"barnagaud"
"3927";"385A_2";NA;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"barnagaud"
"3929";"385A_2";NA;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"barnagaud"
"3934";"385A_2";NA;"corneille noire";0;0;0;0;1;2;0;2;2;"non";"non";"barnagaud"
"3945";"385A_2";NA;"corneille noire";0;0;0;1;0;0;0;1;1;"oui";"non";"barnagaud"
"3946";"385A_2";NA;"corneille noire";0;0;0;2;2;0;0;2;2;"non";"non";"barnagaud"
"3959";"385D_2";NA;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"barnagaud"
"3989";"385B_2";NA;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"barnagaud"
"3991";"385B_2";NA;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"barnagaud"
"4021";"708A_2";NA;"corneille noire";0;0;0;0;1;1;0;1;1;"non";"non";"barnagaud"
"4025";"708A_2";NA;"corneille noire";0;0;0;2;0;2;0;2;2;"non";"non";"barnagaud"
"4055";"708C_2";NA;"corneille noire";0;0;0;0;0;1;0;1;1;"oui";"non";"barnagaud"
"4059";"708C_2";NA;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"barnagaud"
"4060";"708C_2";NA;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"barnagaud"
"4073";"708C_2";NA;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"barnagaud"
"4075";"708C_2";NA;"corneille noire";0;0;0;0;1;2;0;2;2;"non";"non";"barnagaud"
"4084";"708C_2";NA;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"barnagaud"
"4094";"708B_2";NA;"corneille noire";0;0;0;1;1;1;0;1;1;"non";"non";"barnagaud"
"4098";"708B_2";NA;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"barnagaud"
"4107";"708B_2";NA;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"barnagaud"
"4118";"708D_2";NA;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"barnagaud"
"4120";"708D_2";NA;"corneille noire";0;0;0;0;0;2;0;2;2;"non";"non";"barnagaud"
"4129";"708D_2";NA;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"barnagaud"
"4135";"708D_2";NA;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"barnagaud"
"4152";"682A_2";NA;"corneille noire";0;0;0;1;0;1;0;1;1;"non";"non";"barnagaud"
"4157";"682A_2";NA;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"barnagaud"
"4170";"682A_2";NA;"corneille noire";0;0;0;2;2;0;0;2;2;"non";"non";"barnagaud"
"4172";"682A_2";NA;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"barnagaud"
"4174";"682A_2";NA;"corneille noire";0;0;0;0;0;2;0;2;2;"non";"non";"barnagaud"
"4198";"682B_2";NA;"corneille noire";0;0;0;0;1;1;0;1;1;"non";"non";"barnagaud"
"4200";"682B_2";NA;"corneille noire";0;0;0;0;1;0;0;1;1;"oui";"non";"barnagaud"
