maille;espece;effectif;heterogeneite;configuration;prairies;haies
A_689;rougequeue_noir;0;0,193327346;0,787022912;1,449884754;-0,236045666
A_689;bergeronnette_grise;0;0,193327346;0,787022912;1,449884754;-0,236045666
A_689;mesange_charbonniere;3;0,193327346;0,787022912;1,449884754;-0,236045666
A_689;bergeronnette_printaniere;0;0,193327346;0,787022912;1,449884754;-0,236045666
A_689;grimpereau_des_jardins;2;0,193327346;0,787022912;1,449884754;-0,236045666
A_689;fauvette_des_jardins;0;0,193327346;0,787022912;1,449884754;-0,236045666
A_689;corbeau_freux;0;0,193327346;0,787022912;1,449884754;-0,236045666
A_695;mesange_charbonniere;1;0,213600965;-1,391468217;-0,532037165;-0,127121607
A_695;pouillot_fitis;0;0,213600965;-1,391468217;-0,532037165;-0,127121607
A_695;grimpereau_des_jardins;1;0,213600965;-1,391468217;-0,532037165;-0,127121607
A_695;tarier_patre;0;0,213600965;-1,391468217;-0,532037165;-0,127121607
A_695;tourterelle_des_bois;0;0,213600965;-1,391468217;-0,532037165;-0,127121607
A_695;rougequeue_noir;0;0,213600965;-1,391468217;-0,532037165;-0,127121607
A_695;fauvette_des_jardins;0;0,213600965;-1,391468217;-0,532037165;-0,127121607
A_695;bergeronnette_grise;1;0,213600965;-1,391468217;-0,532037165;-0,127121607
A_695;corbeau_freux;2;0,213600965;-1,391468217;-0,532037165;-0,127121607
A_695;bergeronnette_printaniere;0;0,213600965;-1,391468217;-0,532037165;-0,127121607
A_702;tourterelle_des_bois;0;-0,795740994;0,068786754;0,299558604;-1,574150327
A_702;grimpereau_des_jardins;1;-0,795740994;0,068786754;0,299558604;-1,574150327
A_702;fauvette_des_jardins;0;-0,795740994;0,068786754;0,299558604;-1,574150327
A_702;tarier_patre;1;-0,795740994;0,068786754;0,299558604;-1,574150327
A_702;rougequeue_noir;1;-0,795740994;0,068786754;0,299558604;-1,574150327
A_702;bergeronnette_grise;1;-0,795740994;0,068786754;0,299558604;-1,574150327
A_702;pouillot_fitis;0;-0,795740994;0,068786754;0,299558604;-1,574150327
A_702;mesange_charbonniere;1;-0,795740994;0,068786754;0,299558604;-1,574150327
A_702;corbeau_freux;71;-0,795740994;0,068786754;0,299558604;-1,574150327
A_702;bergeronnette_printaniere;1;-0,795740994;0,068786754;0,299558604;-1,574150327
A_708;tourterelle_des_bois;0;-0,417798837;0,639570456;-1,207189932;-0,822564991
A_708;pouillot_fitis;0;-0,417798837;0,639570456;-1,207189932;-0,822564991
A_708;corbeau_freux;0;-0,417798837;0,639570456;-1,207189932;-0,822564991
A_708;fauvette_des_jardins;0;-0,417798837;0,639570456;-1,207189932;-0,822564991
A_708;bergeronnette_grise;1;-0,417798837;0,639570456;-1,207189932;-0,822564991
A_708;tarier_patre;1;-0,417798837;0,639570456;-1,207189932;-0,822564991
A_708;mesange_charbonniere;1;-0,417798837;0,639570456;-1,207189932;-0,822564991
A_708;rougequeue_noir;0;-0,417798837;0,639570456;-1,207189932;-0,822564991
A_708;grimpereau_des_jardins;1;-0,417798837;0,639570456;-1,207189932;-0,822564991
A_708;bergeronnette_printaniere;0;-0,417798837;0,639570456;-1,207189932;-0,822564991
A_771;bergeronnette_grise;0;1,133020819;0,416013506;-1,474422022;-2,051613732
A_771;tarier_patre;1;1,133020819;0,416013506;-1,474422022;-2,051613732
A_771;bergeronnette_printaniere;0;1,133020819;0,416013506;-1,474422022;-2,051613732
A_771;grimpereau_des_jardins;2;1,133020819;0,416013506;-1,474422022;-2,051613732
A_771;pouillot_fitis;0;1,133020819;0,416013506;-1,474422022;-2,051613732
A_771;fauvette_des_jardins;1;1,133020819;0,416013506;-1,474422022;-2,051613732
A_771;tourterelle_des_bois;0;1,133020819;0,416013506;-1,474422022;-2,051613732
A_771;corbeau_freux;0;1,133020819;0,416013506;-1,474422022;-2,051613732
A_771;rougequeue_noir;0;1,133020819;0,416013506;-1,474422022;-2,051613732
A_771;mesange_charbonniere;3;1,133020819;0,416013506;-1,474422022;-2,051613732
