;HIEVIR;LACBIL;NATMAU;NATNAT;PODMUR;ZAMLON;CORGIR;ANGFRA;MALMON;PODLIO;RHISCA;VIPASP;CHASTR;TARMAU;TIMLEP;PSAALG;PSAEDW;EMYORB;MAULEP;CORAUS;HEMTUR;ZOOVIV;LACAGI;VIPBER
ID309;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
ID310;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ID311;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ID337;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1
ID338;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1
ID339;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0
ID340;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1
ID341;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
ID342;1;1;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1
ID343;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1
ID344;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1
ID345;1;1;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1
ID346;1;1;1;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1
ID347;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
ID348;1;1;0;1;1;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
ID349;1;1;1;1;1;1;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0
ID350;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
ID351;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ID377;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1
ID378;1;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1
ID379;1;1;1;1;1;0;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0
ID380;1;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1
ID381;1;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1
ID382;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1
ID383;0;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1
ID384;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
ID385;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1
ID386;0;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ID387;0;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
ID388;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0
ID389;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0
ID390;1;1;1;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
ID391;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ID417;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1
ID418;1;1;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1
ID419;1;1;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0
ID420;1;1;1;1;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
ID421;1;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
ID422;1;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1
ID423;0;1;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ID424;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;0;0;0;0;1;0;1;1;0
ID425;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
ID426;0;1;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
ID427;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;0;0;0;0;0
ID428;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0
ID429;0;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
ID430;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0
ID431;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ID432;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ID458;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
ID459;1;1;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
ID460;1;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
ID461;1;1;1;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1
ID462;1;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1
ID463;0;1;1;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;1;1
ID464;0;1;1;1;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1
ID465;0;1;1;1;1;1;0;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0
ID466;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0
ID467;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0
ID468;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0
ID469;0;1;1;1;1;1;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
ID470;1;1;1;0;1;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
ID471;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
ID472;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ID498;1;1;0;1;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ID499;1;1;0;0;1;1;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
ID500;1;1;1;1;1;1;1;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0
ID501;1;1;1;1;1;1;1;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0
ID502;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;0;0;0;0;1;0;1;1;0
ID503;0;1;1;1;1;1;0;1;1;1;0;1;0;0;1;0;0;0;0;1;0;1;1;1
ID504;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0
